onset	duration	trial_type	block	audioOnset	audioDuration	audioOnsetIndex	eegOnsetIndex	word
1426.376953125	1.501953125	StartReading	Overt	1208.381871210601	1.5026819313158335	53290225	730305	OKO
1429.814453125	1.501953125	StartSaying	Overt	1211.608570514111	1.5015028059264597	53432524	732065	OKO
1433.26171875	1.501953125	StartReading	Overt	1215.0869223862994	1.5027499577806052	53585921	733830	UMU
1436.62109375	1.501953125	StartSaying	Overt	1218.3589046398592	1.5027499577806052	53730217	735550	UMU
1439.66015625	1.50390625	StartReading	Overt	1221.7673479817508	1.5017068853207742	53880531	737106	ATA
1443.005859375	1.501953125	StartSaying	Overt	1224.7765893528745	1.5017068853207742	54013240	738819	ATA
1446.205078125	1.501953125	StartReading	Overt	1228.1718355606001	1.5027499577806052	54162972	740457	OPO
1449.517578125	1.50390625	StartSaying	Overt	1231.5277397961997	1.5017522362972886	54310969	742153	OPO
1452.80078125	1.501953125	StartReading	Overt	1234.5518789631085	1.5017522362972886	54444335	743834	OMO
1456.033203125	1.501953125	StartSaying	Overt	1237.8274212683245	1.5017522362972886	54588788	745489	OMO
1459.193359375	1.501953125	StartReading	Overt	1241.2669073536401	1.502863335221891	54740471	747107	IKI
1462.52734375	1.501953125	StartSaying	Overt	1244.6489564272003	1.5015708323912311	54889621	748814	IKI
1467.982421875	1.50390625	StartReading	Inert	1250.0903933442785	1.5027046068040908	55129591	751607	IKI
1471.435546875	1.501953125	StartSaying	Inert	1253.10174353581	1.5021603950859181	55262393	753375	IKI
1474.943359375	1.50390625	StartReading	Inert	1256.5874195907056	1.5017295608090315	55416113	755171	UNU
1478.06640625	1.501953125	StartSaying	Inert	1259.7210133394317	1.5015254814147168	55554306	756770	UNU
1481.427734375	1.501953125	StartReading	Inert	1263.0459882090486	1.5025685538745477	55700939	758491	IJI
1484.61328125	1.50390625	StartSaying	Inert	1266.4215747684552	1.5019336402033463	55849804	760122	IJI
1487.68359375	1.501953125	StartReading	Inert	1269.6037394130283	1.5016388588560028	55990139	761694	ERE
1490.974609375	1.501953125	StartSaying	Inert	1273.0164457467122	1.5027726332688622	56140641	763379	ERE
